idtipoEstablecimiento;anio;trimestre;meses cobertura
54;2017;1;NULL
31;2016;3;NULL
54;2017;1;0
23;2017;1;NULL
20;2016;4;NULL
20;2017;1;NULL
55;2016;4;NULL
29;2017;1;98.6816
23;2016;4;NULL
41;2017;2;3.125
20;2017;1;NULL
15;2017;1;NULL
13;2017;1;7.5
13;2016;4;NULL
41;2017;1;NULL
38;2017;1;5
54;2017;2;5
55;2017;2;NULL
20;2017;2;0
29;2017;2;69.5532
20;2017;2;3.6
30;2017;2;NULL
7;2017;2;NULL
16;2017;1;0
16;2017;2;0
23;2017;2;0
16;2017;1;0
10;2016;4;2
10;2017;1;1.3587
9;2016;3;0.5
51;2016;4;23.75
11;2016;4;NULL
51;2016;3;1.1364
52;2016;4;3.0303
50;2016;4;2
55;2017;1;NULL
10;2017;1;0
29;2017;1;23.1024
41;2017;2;2.875
53;2016;4;NULL
53;2017;1;6.76
51;2017;1;2.825
13;2017;1;6.6667
41;2017;1;0.0021
38;2017;1;4.6667
54;2017;2;4.6667
9;2016;4;1.78
9;2017;1;3.4087
9;2017;2;7.2353
10;2017;2;0
10;2017;1;0
29;2017;2;42.9762
54;2017;2;NULL
13;2017;1;1
13;2017;1;1
13;2017;2;3
20;2017;2;1.2
16;2017;1;3.6072
16;2017;2;0.3848
16;2017;1;3.6072
41;2017;1;2.875
10;2016;4;1
10;2017;1;0
7;2016;4;NULL
50;2016;4;3
41;2017;2;0
7;2017;1;NULL
13;2017;1;NULL
7;2017;1;NULL
41;2017;1;0
10;2017;2;1
33;2017;2;NULL
29;2017;2;28.0851
48;2017;2;NULL
48;2017;2;NULL
48;2017;2;NULL
56;2017;2;0
29;2017;1;14.0511
29;2017;2;80.2857
16;2017;1;0.0833
16;2017;2;0.0787
38;2017;1;4
54;2017;2;4
38;2017;1;20
54;2017;2;20
29;2017;2;18.3908
38;2017;1;10
54;2017;2;10
29;2017;2;24.2759
29;2017;1;0
29;2017;2;NULL
41;2017;2;5.8333
41;2017;1;5.1667
20;2017;2;0.8
16;2017;2;0.0877
16;2017;1;0.1
16;2017;2;0.0339
16;2017;1;0.053
10;2016;4;1.2422
10;2017;1;0.5112
9;2016;3;0.68
51;2016;4;8.6667
51;2016;3;0.6812
52;2016;4;2.0408
50;2016;4;3.7333
24;2017;1;NULL
33;2016;4;NULL
29;2017;1;19.9531
41;2017;2;2.7
53;2017;1;9.9474
24;2017;2;2.6667
49;2017;1;0
7;2017;1;0.8696
51;2017;1;8.7778
13;2017;1;0.5
41;2017;1;2.7
38;2017;1;3.95
9;2016;4;2.9085
9;2017;1;28.1268
9;2017;2;10.5776
10;2017;2;1.3624
10;2017;2;0
29;2017;2;13.0769
25;2017;1;3.3333
25;2017;2;3.3333
31;2016;4;12.5
31;2017;1;9.3333
13;2017;1;1.2
13;2017;1;1.2
13;2017;2;1.2
48;2017;2;6.4
48;2017;2;6.4
48;2017;2;6.4
16;2017;2;2.8957
16;2017;1;3.032
10;2016;4;1.4793
10;2017;1;0.7372
9;2016;3;0.75
51;2016;4;3.6316
51;2016;3;0.5864
52;2016;4;4.4643
50;2016;4;3.3333
29;2017;1;24.3534
53;2017;1;8
51;2017;1;3.55
13;2017;1;1
38;2017;1;4.2
9;2016;4;2.4853
9;2017;1;3.3684
9;2017;2;3.4333
29;2017;2;22.1818
31;2017;1;18.6667
48;2017;2;6.3492
48;2017;2;6.3492
48;2017;2;6.3492
16;2017;2;0.7592
16;2017;1;1.8286
10;2016;4;NULL
10;2017;1;NULL
38;2017;1;0
10;2017;2;NULL
13;2017;1;1.6
13;2017;1;1.6
13;2017;2;1.6
10;2016;4;1.2
10;2017;1;0.8
9;2016;3;3
51;2016;4;77.8
51;2016;3;2
52;2016;4;18.2
50;2016;4;1.5
53;2017;1;27
7;2017;1;1
51;2017;1;77.9
13;2017;1;3
38;2017;1;1
54;2017;2;3.3333
9;2016;4;3.3
9;2017;1;23.9167
9;2017;2;25.2308
10;2017;2;0.6
25;2017;1;2.1667
25;2017;2;2.1667
31;2016;4;18
31;2017;1;17
13;2017;1;1.3333
13;2017;1;1.3333
13;2017;2;1.3333
48;2017;1;1.5
48;2017;2;1.5
48;2017;2;1.5
48;2017;2;1.5
53;2017;1;0.5
13;2017;1;0.8
38;2017;1;87
9;2016;4;0
9;2017;1;0.375
9;2017;2;0
31;2016;4;8.3333
54;2017;2;2.5
9;2017;1;0
13;2017;1;NULL
13;2017;1;NULL
13;2017;2;NULL
48;2017;2;2
48;2017;2;2
48;2017;2;2
9;2016;3;2
51;2016;3;15
41;2017;2;5
51;2017;1;10
13;2017;1;NULL
41;2017;1;5
38;2017;1;NULL
9;2016;4;2
9;2017;1;2
9;2017;2;2
31;2016;4;3
31;2017;1;4
48;2017;1;NULL
9;2016;3;333.3333
51;2016;3;10
50;2016;4;4
9;2016;4;NULL
9;2017;1;NULL
9;2017;2;NULL
31;2016;4;5
31;2017;1;10
13;2017;1;0.8333
13;2017;1;33.3333
13;2017;2;33.3333
9;2016;3;1
51;2016;3;1
41;2017;1;1
54;2017;2;NULL
31;2016;4;1
31;2017;1;1
13;2017;1;4
9;2016;3;5
51;2016;3;3
41;2017;2;2.3636
41;2017;1;2.3636
38;2017;1;3.3333
9;2017;2;4
31;2016;4;10
13;2017;1;0.8333
13;2017;2;0.8333
10;2016;4;1.1111
10;2017;1;1
9;2016;3;0
51;2016;4;0
51;2016;3;0
52;2016;4;11.75
50;2016;4;1
41;2017;2;15.4
53;2017;1;45
24;2017;2;5
51;2017;1;19.08
41;2017;1;15.4
9;2016;4;0.7059
9;2017;1;13.625
9;2017;2;12.225
25;2017;1;2.8571
25;2017;2;2.8571
31;2016;4;4
31;2017;1;3
13;2017;1;4
13;2017;2;4
48;2017;1;1
48;2017;2;1
48;2017;2;1
48;2017;2;1
51;2016;3;NULL
50;2016;4;NULL
9;2016;3;2.4813
51;2016;4;8.825
52;2016;4;12.7778
50;2016;4;5
53;2017;1;16
51;2017;1;16.399
38;2017;1;2
54;2017;2;2
9;2016;4;39.8914
9;2017;1;40.7535
9;2017;2;26.6208
31;2016;4;6
31;2017;1;7.5
13;2017;1;1.6667
13;2017;2;1.6667
